#       # k              E            BS weight       TS weight
      0.8377174     -2.7898781       0.0196841       0.0072884
      0.8627765     -2.7895824       0.0203407       0.0075976
      0.8878356     -2.7892541       0.0209201       0.0078704
      0.9128946     -2.7889044       0.0214329       0.0081109
      0.9379537     -2.7885449       0.0218876       0.0083225
      0.9630128     -2.7881880       0.0222906       0.0085082
      0.9880718     -2.7878464       0.0226455       0.0086699
      1.0131309     -2.7875324       0.0229533       0.0088085
      1.0381900     -2.7872574       0.0232128       0.0089242
      1.0632491     -2.7870317       0.0234208       0.0090162
      1.0883081     -2.7868640       0.0235735       0.0090832
      1.1133672     -2.7867607       0.0236670       0.0091241
      1.1384263     -2.7867259       0.0236985       0.0091378
      1.1384263     -2.7867259       0.0236985       0.0091378
      1.1589042     -2.7866628       0.0237399       0.0091072
      1.1793822     -2.7864748       0.0238636       0.0090172
      1.1998602     -2.7861653       0.0240687       0.0088726
      1.2203382     -2.7857396       0.0243537       0.0086810
      1.2408162     -2.7852054       0.0247164       0.0084518
      1.2612941     -2.7845722       0.0251545       0.0081954
      1.2817721     -2.7838512       0.0256658       0.0079226
      1.3022501     -2.7830549       0.0262489       0.0076437
      1.3227281     -2.7821974       0.0269030       0.0073679
      1.3432061     -2.7812934       0.0276283       0.0071033
      1.3636840     -2.7803583       0.0284258       0.0068564
      1.3841620     -2.7794078       0.0292960       0.0066319
      1.4046400     -2.7784575       0.0302376       0.0064331
      1.4251180     -2.7775229       0.0312465       0.0062614
      1.4455960     -2.7766184       0.0323139       0.0061171
      1.4660739     -2.7757580       0.0334250       0.0059992
      1.4865519     -2.7749544       0.0345585       0.0059055
      1.5070299     -2.7742191       0.0356867       0.0058334
      1.5275079     -2.7735620       0.0367762       0.0057798
      1.5479859     -2.7729919       0.0377893       0.0057415
      1.5684638     -2.7725159       0.0386873       0.0057152
      1.5889418     -2.7721399       0.0394324       0.0056980
      1.6094198     -2.7718683       0.0399912       0.0056876
      1.6298978     -2.7717041       0.0403377       0.0056821
      1.6503757     -2.7716491       0.0404551       0.0056804
      1.6503757     -2.7716491       0.0404551       0.0056804
      1.6754348     -2.7716584       0.0404185       0.0056630
      1.7004939     -2.7716860       0.0403086       0.0056109
      1.7255530     -2.7717312       0.0401243       0.0055253
      1.7506120     -2.7717926       0.0398641       0.0054078
      1.7756711     -2.7718683       0.0395258       0.0052606
      1.8007302     -2.7719562       0.0391065       0.0050861
      1.8257892     -2.7720534       0.0386026       0.0048875
      1.8508483     -2.7721568       0.0380098       0.0046679
      1.8759074     -2.7722627       0.0373227       0.0044307
      1.9009665     -2.7723672       0.0365347       0.0041792
      1.9260255     -2.7724660       0.0356377       0.0039169
      1.9510846     -2.7725549       0.0346212       0.0036474
      1.9761437     -2.7726292       0.0334720       0.0033741
      2.0012027     -2.7726841       0.0321729       0.0031005
      2.0262618     -2.7727151       0.0307017       0.0028298
      2.0513209     -2.7727174       0.0290297       0.0025655
      2.0763800     -2.7726865       0.0271192       0.0023108
      2.1014390     -2.7726180       0.0249221       0.0020688
      2.1264981     -2.7725077       0.0223780       0.0018426
      2.1515572     -2.7723522       0.0194146       0.0016353
      2.1766162     -2.7721484       0.0159557       0.0014498
      2.2016753     -2.7718949       0.0119509       0.0012885
      2.2267344     -2.7715928       0.0074706       0.0011503
      2.2517935     -2.7712525       0.0029945       0.0010080
      2.2768525     -2.7709825       0.0005121       0.0007449
      2.2768525     -2.7709825       0.0005121       0.0007449
      2.3092146     -2.7712811       0.0025766       0.0009852
      2.3415767     -2.7717737       0.0065771       0.0011389
      2.3739388     -2.7723479       0.0104951       0.0012767
      2.4063009     -2.7729790       0.0137197       0.0014301
      2.4386630     -2.7736497       0.0161427       0.0015979
      2.4710251     -2.7743446       0.0178403       0.0017736
      2.5033871     -2.7750500       0.0189443       0.0019515
      2.5357492     -2.7757552       0.0195920       0.0021284
      2.5681113     -2.7764526       0.0199082       0.0023046
      2.6004734     -2.7771393       0.0200014       0.0024842
      2.6328355     -2.7778168       0.0199645       0.0026749
      2.6651976     -2.7784919       0.0198780       0.0028886
      2.6975597     -2.7791749       0.0198115       0.0031403
      2.7299217     -2.7798787       0.0198224       0.0034480
      2.7622838     -2.7806141       0.0199508       0.0038295
      2.7946459     -2.7813868       0.0202143       0.0042990
      2.8270080     -2.7821929       0.0206051       0.0048615
      2.8593701     -2.7830174       0.0210935       0.0055087
      2.8917322     -2.7838352       0.0216349       0.0062159
      2.9240943     -2.7846132       0.0221804       0.0069431
      2.9564564     -2.7853154       0.0226846       0.0076397
      2.9888184     -2.7859057       0.0231107       0.0082520
      3.0211805     -2.7863526       0.0234320       0.0087299
      3.0535426     -2.7866312       0.0236311       0.0090336
      3.0859047     -2.7867259       0.0236985       0.0091378
 
      0.0000000     -2.7709423       0.0007808       0.0011781
      0.0204780     -2.7710098       0.0007592       0.0011963
      0.0409560     -2.7712116       0.0007206       0.0012653
      0.0614339     -2.7715469       0.0007088       0.0013963
      0.0819119     -2.7720267       0.0007285       0.0015292
      0.1023899     -2.7727009       0.0005192       0.0010470
      0.1228679     -2.7735645       0.0008853       0.0010796
      0.1433459     -2.7745204       0.0019634       0.0012432
      0.1638238     -2.7755634       0.0033288       0.0012958
      0.1843018     -2.7766770       0.0048343       0.0013361
      0.2047798     -2.7778400       0.0063251       0.0013888
      0.2252578     -2.7790300       0.0076849       0.0014650
      0.2457358     -2.7802245       0.0088365       0.0015682
      0.2662137     -2.7814014       0.0097336       0.0016948
      0.2866917     -2.7825397       0.0103519       0.0018354
      0.3071697     -2.7836195       0.0106827       0.0019755
      0.3276477     -2.7846232       0.0107281       0.0020982
      0.3481256     -2.7855354       0.0104998       0.0021865
      0.3686036     -2.7863436       0.0100193       0.0022261
      0.3890816     -2.7870388       0.0093204       0.0022088
