# Omega(k)/|Omega(k)|, Omega(k) comes from the 4,5,6 columns of Berrycurvature.dat.
#col     1           2           3           4           5           6
  # kx (1/A)    ky (1/A)    kz (1/A)     Omega_x     Omega_y     Omega_z
   -0.266542   -0.005347   -0.116718    0.892539    0.019326    0.450556
   -0.266542    0.000000   -0.116718    0.456785   -0.013322    0.889478
   -0.266542    0.005347   -0.116718    0.000048    0.000017   -0.000063
   -0.266542    0.010694   -0.116718    0.000030    0.000017   -0.000065
   -0.266542    0.016041   -0.116718    0.000025    0.000024   -0.000079
   -0.266542    0.021388   -0.116718    0.299652    0.364656   -0.881609
   -0.266542    0.026735   -0.116718    0.348326    0.477797   -0.806461
   -0.266542    0.032082   -0.116718    0.376687    0.567828   -0.731901
   -0.266542    0.037429   -0.116718    0.386817    0.600367   -0.699951
   -0.266542    0.042776   -0.116718    0.398221    0.555024   -0.730321
   -0.266542    0.048123   -0.116718    0.415956    0.405638   -0.813903
   -0.266542    0.053471   -0.116718    0.401022    0.198121   -0.894388
   -0.266542    0.058818   -0.116718    0.386747   -0.066275   -0.919801
   -0.266542    0.064165   -0.116718    0.417756    0.212074   -0.883462
   -0.266542    0.069512   -0.116718    0.032083    0.456972   -0.888902
   -0.266542    0.074859   -0.116718    0.209288    0.815927   -0.538946
   -0.266542    0.080206   -0.116718    0.154924    0.838134   -0.523000
   -0.266542    0.085553   -0.116718    0.019022    0.666755   -0.745034
   -0.266542    0.090900   -0.116718   -0.276261   -0.398725   -0.874470
   -0.266542    0.096247   -0.116718   -0.234513   -0.894070   -0.381632
   -0.266542    0.101594   -0.116718   -0.150439   -0.961559   -0.229722
   -0.266542    0.106941   -0.116718   -0.054909   -0.978437   -0.199111
   -0.266542    0.112288   -0.116718    0.000007   -0.000080   -0.000020
   -0.266542    0.117635   -0.116718    0.000004   -0.000017   -0.000009
   -0.266542    0.122982   -0.116718   -0.000018    0.000018   -0.000002
   -0.266542    0.128329   -0.116718   -0.731729    0.637902   -0.240114
   -0.266542    0.133676   -0.116718   -0.234332   -0.021283   -0.971924
   -0.266542    0.139023   -0.116718    0.194433   -0.929455   -0.313542
   -0.266542    0.144370   -0.116718   -0.586246   -0.026045   -0.809714
   -0.266542    0.149717   -0.116718    0.029919   -0.921122    0.388122
   -0.266542    0.155065   -0.116718   -0.443961   -0.886970   -0.127215
   -0.266542    0.160412   -0.116718    0.432642    0.850403    0.299393
   -0.266542    0.165759   -0.116718   -0.162859    0.964028   -0.210065
   -0.266542    0.171106   -0.116718    0.075224   -0.439268   -0.895201
   -0.266542    0.176453   -0.116718    0.000003   -0.000055   -0.000043
   -0.266542    0.181800   -0.116718   -0.000010   -0.000041   -0.000025
