# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
    0.27248918    0.21496051   -0.07079530    0.00000002    5.50696492    0.50291083    0.32420711   -0.40583339
    0.25352001    0.20696483   -0.09634329    0.00000003    5.61097630    0.46790099    0.31214790   -0.44263791
    0.26429493    0.21577244   -0.08113331    0.00000002    5.55296517    0.48778739    0.32543169   -0.42024182
    0.27012126    0.22520375    0.11932117    0.00000002    5.46781131    0.49854057    0.33965614    0.00221215
   -0.26299914    0.22602456   -0.12326438    0.00000001    5.46632551   -0.48539585    0.34089411   -0.01728697
   -0.28142322    0.23415117   -0.08320033    0.00000003    5.46248241   -0.51939965    0.35315079    0.08545773
   -0.29544837    0.25653599    0.00519612    0.00000002    5.48767689   -0.54528473    0.38691197    0.28726328
   -0.30158304    0.25320158    0.01982622    0.00000002    5.48531227   -0.55660697    0.38188295    0.32422782
   -0.30364753    0.25325640    0.02162941    0.00000002    5.48939183   -0.56041724    0.38196564    0.33000680
   -0.26487148    0.21600422    0.07735437    0.00000003    5.55170483   -0.48885147    0.32578125    0.41271402
   -0.25753535    0.21724352    0.08118766    0.00000003    5.58583800   -0.47531179    0.32765039    0.41403929
   -0.24249478   -0.21168652    0.17764371    0.00000002    5.34193330   -0.44755264   -0.31926924    0.60587999
   -0.22811643   -0.26331186    0.21489221    0.00000002    5.55318497   -0.42101571   -0.39713146    0.67195228
   -0.22308982   -0.26884236    0.21981401    0.00000003    5.58654111   -0.41173850   -0.40547264    0.67775995
    0.29844144   -0.25478461   -0.01382257    0.00000002    5.48594340    0.55080879   -0.38427051   -0.30847552
   -0.21125878   -0.27855239    0.23135313    0.00000003    5.64221126   -0.38990294   -0.42011748    0.69133285
   -0.21181740   -0.27818429    0.23081833    0.00000001    5.64028704   -0.39093393   -0.41956231    0.69071340
   -0.15154602   -0.30817462   -0.08657288    0.00000002    5.59425339   -0.27969600   -0.46479423   -0.04314465
   -0.15158094   -0.30843861   -0.07847550    0.00000002    5.59328853   -0.27976045   -0.46519238   -0.02582693
   -0.15232527   -0.30593968   -0.05441053    0.00000003    5.59699201   -0.28113420   -0.46142346    0.02623913
   -0.15159598   -0.30736541   -0.09600920    0.00000002    5.59633110   -0.27978822   -0.46357377   -0.06324119
   -0.15159543   -0.30737052   -0.09596025    0.00000002    5.59631892   -0.27978719   -0.46358147   -0.06313721
   -0.15157710   -0.30843753   -0.07888946    0.00000001    5.59331377   -0.27975337   -0.46519076   -0.02671418
    0.29811871   -0.21816963   -0.04978111    0.00000001    5.35670904    0.55021315   -0.32904717   -0.38493274
    0.30689169   -0.25544373   -0.02154805    0.00000002    5.50506256    0.56640472   -0.38526460   -0.33286562
   -0.22059883   -0.27126001    0.22228054    0.00000002    5.60097173   -0.40714110   -0.40911898    0.68069668
   -0.22025788   -0.27157397    0.22261712    0.00000001    5.60283156   -0.40651183   -0.40959250    0.68109646
    0.30438917   -0.25355399   -0.02187926    0.00000002    5.49205915    0.56178602   -0.38241446   -0.33123338
   -0.26494456   -0.22601221   -0.12635302    0.00000001    5.46555440   -0.48898635   -0.34087549   -0.02206164
   -0.15317006   -0.30400546   -0.12464796    0.00000002    5.60158491   -0.28269336   -0.45850624   -0.12290353
   -0.15158545   -0.30746765   -0.09501629    0.00000002    5.59608540   -0.27976878   -0.46372797   -0.06113151
   -0.15171749   -0.30815292   -0.07027052    0.00000003    5.59337347   -0.28001248   -0.46476151   -0.00818452
   -0.15155357   -0.30790814   -0.09025852    0.00000002    5.59497788   -0.27970994   -0.46439232   -0.05100514
   -0.27190951   -0.21541923    0.07134447    0.00000002    5.50999618   -0.50184098   -0.32489896    0.40646383
   -0.25214936   -0.20538125    0.09825355    0.00000003    5.61810173   -0.46537131   -0.30975952    0.44543444
   -0.22117897   -0.20857459    0.12550132    0.00000002    5.64998664   -0.40821181   -0.31457576    0.47464921
   -0.24310159   -0.21671439    0.18055303    0.00000002    5.35243189   -0.44867258   -0.32685236    0.61265757
   -0.22080092   -0.18977845    0.07789882    0.00000002    5.96186875   -0.40751406   -0.28622711    0.37268113
   -0.19519338   -0.28667056   -0.22154144    0.00000001    5.67197830   -0.36025235   -0.43236144   -0.29045576
   -0.26763493   -0.22538312   -0.12199008    0.00000003    5.46717166   -0.49395174   -0.33992668   -0.01023347
    0.26777763   -0.22536043    0.12086840    0.00000002    5.46765660    0.49421512   -0.33989245    0.00770567
   -0.15158396   -0.30843848   -0.07816687    0.00000001    5.59327153   -0.27976602   -0.46519218   -0.02516530
   -0.15156450   -0.30841973   -0.08050763    0.00000003    5.59343850   -0.27973011   -0.46516392   -0.03018017
   -0.15157918   -0.30843830   -0.07866132    0.00000002    5.59329952   -0.27975721   -0.46519192   -0.02622523
   -0.27724047   -0.20657336    0.06936396    0.00000003    5.49045657   -0.51167989   -0.31155747    0.40721925
   -0.23644642   -0.16425694    0.10806225    0.00000004    5.74581182   -0.43638968   -0.24773513    0.45169420
   -0.23721675   -0.17107776    0.09728091    0.00000003    5.79207290   -0.43781141   -0.25802240    0.42939986
   -0.23028235   -0.15039917    0.11763398    0.00000004    5.75526363   -0.42501316   -0.22683459    0.46636459
   -0.22043419   -0.13202469    0.12418756    0.00000004    5.81305733   -0.40683723   -0.19912190    0.47114860
   -0.22205006   -0.13516996    0.12328063    0.00000004    5.80252660   -0.40981950   -0.20386565    0.47072306
   -0.21461127   -0.11919138    0.12724318    0.00000004    5.85375063   -0.39609035   -0.17976647    0.47222828
   -0.15219706   -0.30646834   -0.05713811    0.00000002    5.59600785   -0.28089758   -0.46222079    0.02029686
   -0.15198539   -0.30726611   -0.06202259    0.00000003    5.59464178   -0.28050692   -0.46342401    0.00967234
   -0.15166929   -0.30685534   -0.10065727    0.00000002    5.59749430   -0.27992352   -0.46280448   -0.07309464
   -0.26514653   -0.22594010   -0.12593759    0.00000002    5.46571545   -0.48935911   -0.34076672   -0.02098606
   -0.25429086   -0.17155736    0.15420999    0.00000002    5.46480796   -0.46932369   -0.25874575    0.56688362
   -0.23593348   -0.16273502    0.10964883    0.00000004    5.74254707   -0.43544299   -0.24543973    0.45460152
   -0.22277279   -0.18867993    0.07879957    0.00000003    5.95047196   -0.41115339   -0.28457029    0.37644713
   -0.23735387   -0.16819202    0.10253494    0.00000004    5.76562921   -0.43806449   -0.25367009    0.44074357
   -0.21353177   -0.11638235    0.12778808    0.00000004    5.86184014   -0.39409800   -0.17552985    0.47238239
   -0.20564434   -0.07698676    0.13073272    0.00000004    5.94388125   -0.37954082   -0.11611275    0.47129536
